			Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files										
	EXAMPLE		9-Sep	30-Aug	E. coli + pETase	LB + IPTG + Amp.	Agar	++++	3	35°C Incubator	Streak inoculation loop	Subculturing E. coli	Incubating	Re-culture on the 25/09											
																	Morphology								
Isolate # :	ID:	Group #	Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files	Isolate number 	Size ~mm	Shape	Elevation	Edge/margin	Colour	Surface	Opacity centre	Opacity outer	Observations
58	Nutrient 0g/L Salt ES F-1.2um-10^-1 ISO #58.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			58									
59	Nutrient 15g/L Salt ES F-1.2um-10^-1 ISO #59.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			59	1	circular	raised	smooth	cream	wet/granulated	opaque		
60	Nutrient 15g/L Salt ES F-1.2um-10^-1 ISO #60.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			60									
61	TSA 0g/L Salt ES F-1.2um-10^-1 ISO #61.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			61									
62	TSA 0g/L Salt ES F-1.2um-10^-1 ISO #62.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			62									
63	TSA 15g/L Salt ES F-1.2um-10^-1 ISO #63.3	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	-	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			63									
64	TSA 15g/L Salt ES F-1.2um-10^-1 ISO #64.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			64									
65	R2A 0g/L Salt ES F-1.2um-10^-1 ISO #65.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			65									
66	R2A 0g/L Salt ES F-1.2um-10^-1 ISO #66.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			66									
67	Marine 31.33g/L Salt ES F-1.2um-10^-1 ISO #67.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			67	0.5	circular	convex	entire	cream	wet	opaque		
68	Marine 31.33g/L Salt ES F-1.2um-10^-1 ISO #68.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			68	0.5	circular	convex	entire	pinky cream	wet	opaque		
